 1 jets bin data
 		 mumu 		 mue 		 emu 		 ee 		 ll
120		3.5 +/- 1.1		15 +/- 4.5		14 +/- 5		7.4 +/- 2		39 +/- 0
130		3.8 +/- 1.2		7.9 +/- 2.4		14 +/- 5.1		8.5 +/- 2.3		34 +/- 0
140		3.8 +/- 1.2		2.8 +/- 0.87		4.7 +/- 1.7		3.6 +/- 0.98		15 +/- 0
150		1.1 +/- 0.34		0.96 +/- 0.3		2.5 +/- 0.91		0.01 +/- 0.019		4.4 +/- 0
160		0.72 +/- 0.22		0.64 +/- 0.2		2.3 +/- 0.84		0.01 +/- 0.075		3.3 +/- 0
170		0.34 +/- 0.11		0.81 +/- 0.25		1.9 +/- 0.71		0.01 +/- 0.06		2.8 +/- 0
180		0.042 +/- 0.013		0.54 +/- 0.17		1.2 +/- 0.45		0.26 +/- 0.07		2.1 +/- 0
190		0.66 +/- 0.21		1.2 +/- 0.36		1.1 +/- 0.41		0.89 +/- 0.24		3.8 +/- 0
200		0.76 +/- 0.24		0.6 +/- 0.18		1.5 +/- 0.56		0.9 +/- 0.24		3.8 +/- 0
250		0.9 +/- 0.28		0.66 +/- 0.2		1.6 +/- 0.61		0.78 +/- 0.21		4 +/- 0
300		1.1 +/- 0.36		0.17 +/- 0.054		1.9 +/- 0.72		0.1 +/- 0.028		3.4 +/- 0
350		1.3 +/- 0.4		0.01 +/- 0.038		1.7 +/- 0.62		0.1 +/- 0.028		2.9 +/- 0
400		1 +/- 0.32		0.01 +/- 0.052		1.1 +/- 0.42		0.12 +/- 0.033		2.1 +/- 0
450		0.73 +/- 0.23		0.01 +/- 0.049		1.1 +/- 0.42		0.2 +/- 0.053		1.9 +/- 0
500		0.51 +/- 0.16		0.2 +/- 0.061		1.1 +/- 0.41		0.01 +/- 0.004		1.8 +/- 0
550		0.5 +/- 0.15		0.21 +/- 0.065		0.96 +/- 0.36		0.01 +/- 0.0054		1.6 +/- 0
600		0.26 +/- 0.08		0.21 +/- 0.065		0.79 +/- 0.29		0.01 +/- 0.0054		1.2 +/- 0
