zero jets bin data
	 mumu 	 mue 	 emu 	 ee 	 ll
120 	15.6 +/- 2.17 	15.6 +/- 2.18 	18.2 +/- 2.53 	8.44 +/- 1.18 	57.8 +/- 4.16
130 	19.4 +/- 2.7 	16.9 +/- 2.36 	20 +/- 2.78 	10.5 +/- 1.46 	66.7 +/- 4.77
140 	18.6 +/- 2.59 	14.9 +/- 2.07 	17.4 +/- 2.42 	10.2 +/- 1.43 	61 +/- 4.35
150 	12.5 +/- 1.74 	10.8 +/- 1.5 	11 +/- 1.53 	7.32 +/- 1.02 	41.6 +/- 2.95
160 	8.46 +/- 1.18 	7.23 +/- 1.01 	7.28 +/- 1.01 	5.05 +/- 0.704 	28 +/- 1.98
170 	6.53 +/- 0.911 	5.39 +/- 0.752 	5.54 +/- 0.773 	4.24 +/- 0.591 	21.7 +/- 1.53
180 	7.62 +/- 1.06 	6.02 +/- 0.84 	6.64 +/- 0.926 	4.43 +/- 0.618 	24.7 +/- 1.75
190 	11.1 +/- 1.55 	9.62 +/- 1.34 	10.5 +/- 1.47 	6.65 +/- 0.927 	37.9 +/- 2.69
200 	10.8 +/- 1.51 	10.5 +/- 1.47 	11.7 +/- 1.63 	6.4 +/- 0.892 	39.4 +/- 2.81
250 	7.58 +/- 1.06 	10.7 +/- 1.5 	10.7 +/- 1.49 	4.91 +/- 0.684 	33.9 +/- 2.46
300 	7.27 +/- 1.01 	9.15 +/- 1.28 	8.78 +/- 1.22 	4.89 +/- 0.682 	30.1 +/- 2.15
350 	6.84 +/- 0.953 	7.65 +/- 1.07 	7.6 +/- 1.06 	4.71 +/- 0.657 	26.8 +/- 1.9
400 	5.59 +/- 0.78 	6.3 +/- 0.879 	6.21 +/- 0.866 	3.92 +/- 0.546 	22 +/- 1.56
450 	3.06 +/- 0.427 	3.92 +/- 0.547 	3.65 +/- 0.509 	2.19 +/- 0.305 	12.8 +/- 0.913
500 	2.42 +/- 0.337 	2.98 +/- 0.416 	3.08 +/- 0.43 	1.74 +/- 0.242 	10.2 +/- 0.728
550 	1.97 +/- 0.275 	2.35 +/- 0.327 	2.38 +/- 0.332 	1.42 +/- 0.199 	8.12 +/- 0.576
600 	1.41 +/- 0.196 	1.9 +/- 0.265 	1.95 +/- 0.272 	1.19 +/- 0.166 	6.45 +/- 0.459
